,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
109,euclidean,25,distance,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'distance'}",0.9456190235347656,0.004055061714440588,283
110,euclidean,31,uniform,"{'metric': 'euclidean', 'n_neighbors': 31, 'weights': 'uniform'}",0.9549398723250123,0.0032123305746395215,97
111,euclidean,31,distance,"{'metric': 'euclidean', 'n_neighbors': 31, 'weights': 'distance'}",0.9462211878311402,0.004032043257920347,280
112,euclidean,37,uniform,"{'metric': 'euclidean', 'n_neighbors': 37, 'weights': 'uniform'}",0.9542585198332946,0.0032704509771509706,139
113,euclidean,37,distance,"{'metric': 'euclidean', 'n_neighbors': 37, 'weights': 'distance'}",0.9463035079466685,0.004079415246778617,277
114,euclidean,43,uniform,"{'metric': 'euclidean', 'n_neighbors': 43, 'weights': 'uniform'}",0.9546994560301674,0.003228039442001638,124
115,euclidean,43,distance,"{'metric': 'euclidean', 'n_neighbors': 43, 'weights': 'distance'}",0.9467035026151993,0.0038987848038522285,274
116,euclidean,49,uniform,"{'metric': 'euclidean', 'n_neighbors': 49, 'weights': 'uniform'}",0.9546521269418106,0.0033900567730178605,127
117,euclidean,49,distance,"{'metric': 'euclidean', 'n_neighbors': 49, 'weights': 'distance'}",0.9469623510113685,0.003904011154833153,271
118,euclidean,55,uniform,"{'metric': 'euclidean', 'n_neighbors': 55, 'weights': 'uniform'}",0.9545658297974791,0.003369710421903441,133
119,euclidean,55,distance,"{'metric': 'euclidean', 'n_neighbors': 55, 'weights': 'distance'}",0.947210493634185,0.0038751169531555042,268
120,euclidean,62,uniform,"{'metric': 'euclidean', 'n_neighbors': 62, 'weights': 'uniform'}",0.954588816831528,0.0031975372491682354,130
121,euclidean,62,distance,"{'metric': 'euclidean', 'n_neighbors': 62, 'weights': 'distance'}",0.9473580534735835,0.0037795590312153376,265
122,euclidean,68,uniform,"{'metric': 'euclidean', 'n_neighbors': 68, 'weights': 'uniform'}",0.9547590016984786,0.0032649205654791675,121
123,euclidean,68,distance,"{'metric': 'euclidean', 'n_neighbors': 68, 'weights': 'distance'}",0.9475439456359844,0.0039386044059621485,262
124,euclidean,74,uniform,"{'metric': 'euclidean', 'n_neighbors': 74, 'weights': 'uniform'}",0.9549297921191038,0.0032291551605100003,106
125,euclidean,74,distance,"{'metric': 'euclidean', 'n_neighbors': 74, 'weights': 'distance'}",0.9475836962547962,0.0038900409427055304,259
126,euclidean,80,uniform,"{'metric': 'euclidean', 'n_neighbors': 80, 'weights': 'uniform'}",0.9550125790248153,0.0029935169478885,85
127,euclidean,80,distance,"{'metric': 'euclidean', 'n_neighbors': 80, 'weights': 'distance'}",0.9477774871676061,0.0038690365276799255,256
128,euclidean,86,uniform,"{'metric': 'euclidean', 'n_neighbors': 86, 'weights': 'uniform'}",0.9548161384853747,0.0030652870179795127,115
129,euclidean,86,distance,"{'metric': 'euclidean', 'n_neighbors': 86, 'weights': 'distance'}",0.9477883409592109,0.0038591074450130022,253
130,euclidean,92,uniform,"{'metric': 'euclidean', 'n_neighbors': 92, 'weights': 'uniform'}",0.9549537830825585,0.003156647533214951,94
131,euclidean,92,distance,"{'metric': 'euclidean', 'n_neighbors': 92, 'weights': 'distance'}",0.9479677507423769,0.00385056942301829,250
132,euclidean,98,uniform,"{'metric': 'euclidean', 'n_neighbors': 98, 'weights': 'uniform'}",0.9549384314112167,0.003282054260715296,100
133,euclidean,98,distance,"{'metric': 'euclidean', 'n_neighbors': 98, 'weights': 'distance'}",0.9482789525688343,0.004049903307513935,247
134,euclidean,104,uniform,"{'metric': 'euclidean', 'n_neighbors': 104, 'weights': 'uniform'}",0.9549737003131101,0.0031723964793858744,91
135,euclidean,104,distance,"{'metric': 'euclidean', 'n_neighbors': 104, 'weights': 'distance'}",0.9484943093687933,0.0040230693002868715,232
136,euclidean,110,uniform,"{'metric': 'euclidean', 'n_neighbors': 110, 'weights': 'uniform'}",0.9548417313399057,0.0032908714887514463,112
137,euclidean,110,distance,"{'metric': 'euclidean', 'n_neighbors': 110, 'weights': 'distance'}",0.9485302034869679,0.004020394874341634,226
138,euclidean,116,uniform,"{'metric': 'euclidean', 'n_neighbors': 116, 'weights': 'uniform'}",0.954812417106497,0.0032010604576677977,118
139,euclidean,116,distance,"{'metric': 'euclidean', 'n_neighbors': 116, 'weights': 'distance'}",0.9484693037228494,0.0040722797473666745,241
140,euclidean,123,uniform,"{'metric': 'euclidean', 'n_neighbors': 123, 'weights': 'uniform'}",0.9549347291884871,0.0029949095907084553,103
141,euclidean,123,distance,"{'metric': 'euclidean', 'n_neighbors': 123, 'weights': 'distance'}",0.9485733225918797,0.004152648003804876,223
142,euclidean,129,uniform,"{'metric': 'euclidean', 'n_neighbors': 129, 'weights': 'uniform'}",0.9550053428864741,0.002872455490874474,88
143,euclidean,129,distance,"{'metric': 'euclidean', 'n_neighbors': 129, 'weights': 'distance'}",0.9485122343319959,0.004088268708347287,229
144,euclidean,135,uniform,"{'metric': 'euclidean', 'n_neighbors': 135, 'weights': 'uniform'}",0.9552848117348546,0.0027210300043838064,52
145,euclidean,135,distance,"{'metric': 'euclidean', 'n_neighbors': 135, 'weights': 'distance'}",0.9484839928180632,0.004116959495155288,238
146,euclidean,141,uniform,"{'metric': 'euclidean', 'n_neighbors': 141, 'weights': 'uniform'}",0.9553260163642383,0.002614632683991372,34
147,euclidean,141,distance,"{'metric': 'euclidean', 'n_neighbors': 141, 'weights': 'distance'}",0.9484552305986883,0.004129186336674288,244
148,euclidean,147,uniform,"{'metric': 'euclidean', 'n_neighbors': 147, 'weights': 'uniform'}",0.9554167431971663,0.002607892793918232,4
149,euclidean,147,distance,"{'metric': 'euclidean', 'n_neighbors': 147, 'weights': 'distance'}",0.9484909949208798,0.00415514397738529,235
150,euclidean,153,uniform,"{'metric': 'euclidean', 'n_neighbors': 153, 'weights': 'uniform'}",0.9553259484510509,0.002760348551227809,37
151,euclidean,153,distance,"{'metric': 'euclidean', 'n_neighbors': 153, 'weights': 'distance'}",0.9486344052392115,0.0040862716670301644,220
152,euclidean,159,uniform,"{'metric': 'euclidean', 'n_neighbors': 159, 'weights': 'uniform'}",0.9552615850882585,0.0027627271129776524,55
153,euclidean,159,distance,"{'metric': 'euclidean', 'n_neighbors': 159, 'weights': 'distance'}",0.9487023596143948,0.004019922387805882,214
154,euclidean,165,uniform,"{'metric': 'euclidean', 'n_neighbors': 165, 'weights': 'uniform'}",0.9553966075449299,0.0026825658117074587,10
155,euclidean,165,distance,"{'metric': 'euclidean', 'n_neighbors': 165, 'weights': 'distance'}",0.9486696888343011,0.004060783632943346,217
156,euclidean,171,uniform,"{'metric': 'euclidean', 'n_neighbors': 171, 'weights': 'uniform'}",0.9553291400179521,0.002719823437676459,31
157,euclidean,171,distance,"{'metric': 'euclidean', 'n_neighbors': 171, 'weights': 'distance'}",0.9487806672430847,0.004169996523677475,199
158,euclidean,177,uniform,"{'metric': 'euclidean', 'n_neighbors': 177, 'weights': 'uniform'}",0.9553644307042004,0.0027956965178458416,22
159,euclidean,177,distance,"{'metric': 'euclidean', 'n_neighbors': 177, 'weights': 'distance'}",0.9487123730730369,0.0041470233021997675,211
160,euclidean,184,uniform,"{'metric': 'euclidean', 'n_neighbors': 184, 'weights': 'uniform'}",0.9552585142492829,0.0028348219096983184,58
161,euclidean,184,distance,"{'metric': 'euclidean', 'n_neighbors': 184, 'weights': 'distance'}",0.9487842035507057,0.0040875661527616,193
162,euclidean,190,uniform,"{'metric': 'euclidean', 'n_neighbors': 190, 'weights': 'uniform'}",0.955293899715455,0.0027932596622919827,46
163,euclidean,190,distance,"{'metric': 'euclidean', 'n_neighbors': 190, 'weights': 'distance'}",0.948748217052007,0.004145953052333043,205
164,euclidean,196,uniform,"{'metric': 'euclidean', 'n_neighbors': 196, 'weights': 'uniform'}",0.9552938011193393,0.0027990568578434303,49
165,euclidean,196,distance,"{'metric': 'euclidean', 'n_neighbors': 196, 'weights': 'distance'}",0.9487840488142151,0.004146121953444921,196
166,euclidean,202,uniform,"{'metric': 'euclidean', 'n_neighbors': 202, 'weights': 'uniform'}",0.9553612234380056,0.002725029228120737,25
167,euclidean,202,distance,"{'metric': 'euclidean', 'n_neighbors': 202, 'weights': 'distance'}",0.9487157779209806,0.004122798852362935,208
168,euclidean,208,uniform,"{'metric': 'euclidean', 'n_neighbors': 208, 'weights': 'uniform'}",0.9553549888261728,0.0027243428557599315,28
