,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
112,euclidean,37,uniform,"{'metric': 'euclidean', 'n_neighbors': 37, 'weights': 'uniform'}",0.9811060420371108,0.001353528167229269,65
113,euclidean,37,distance,"{'metric': 'euclidean', 'n_neighbors': 37, 'weights': 'distance'}",0.9847233741090579,0.0015423010999801362,28
114,euclidean,43,uniform,"{'metric': 'euclidean', 'n_neighbors': 43, 'weights': 'uniform'}",0.9803546822176026,0.0015239958605739348,73
115,euclidean,43,distance,"{'metric': 'euclidean', 'n_neighbors': 43, 'weights': 'distance'}",0.9838686983423746,0.0015609329976629786,32
116,euclidean,49,uniform,"{'metric': 'euclidean', 'n_neighbors': 49, 'weights': 'uniform'}",0.9801836232020202,0.0016397517506872659,76
117,euclidean,49,distance,"{'metric': 'euclidean', 'n_neighbors': 49, 'weights': 'distance'}",0.9833898972126771,0.0018459608446869552,35
118,euclidean,55,uniform,"{'metric': 'euclidean', 'n_neighbors': 55, 'weights': 'uniform'}",0.9798471068735054,0.0019428820611833433,81
119,euclidean,55,distance,"{'metric': 'euclidean', 'n_neighbors': 55, 'weights': 'distance'}",0.9829171139614973,0.0019624187468415383,40
120,euclidean,62,uniform,"{'metric': 'euclidean', 'n_neighbors': 62, 'weights': 'uniform'}",0.9791234524413939,0.0018563529385344272,98
121,euclidean,62,distance,"{'metric': 'euclidean', 'n_neighbors': 62, 'weights': 'distance'}",0.9824766428534432,0.0020447732313319165,45
122,euclidean,68,uniform,"{'metric': 'euclidean', 'n_neighbors': 68, 'weights': 'uniform'}",0.9785235087893336,0.0017648863333952322,108
123,euclidean,68,distance,"{'metric': 'euclidean', 'n_neighbors': 68, 'weights': 'distance'}",0.9822731547025285,0.001921413877656315,47
124,euclidean,74,uniform,"{'metric': 'euclidean', 'n_neighbors': 74, 'weights': 'uniform'}",0.9779183977743351,0.0018387532584615421,121
125,euclidean,74,distance,"{'metric': 'euclidean', 'n_neighbors': 74, 'weights': 'distance'}",0.9817650378324799,0.0019623986602587042,53
126,euclidean,80,uniform,"{'metric': 'euclidean', 'n_neighbors': 80, 'weights': 'uniform'}",0.9774823010002288,0.001375610407699107,128
127,euclidean,80,distance,"{'metric': 'euclidean', 'n_neighbors': 80, 'weights': 'distance'}",0.9816648562849991,0.0020586785318920968,55
128,euclidean,86,uniform,"{'metric': 'euclidean', 'n_neighbors': 86, 'weights': 'uniform'}",0.9766728334285535,0.0015988889529263105,144
129,euclidean,86,distance,"{'metric': 'euclidean', 'n_neighbors': 86, 'weights': 'distance'}",0.9814963609905515,0.002159175894737487,58
130,euclidean,92,uniform,"{'metric': 'euclidean', 'n_neighbors': 92, 'weights': 'uniform'}",0.9761334868195586,0.0014531795803698281,153
131,euclidean,92,distance,"{'metric': 'euclidean', 'n_neighbors': 92, 'weights': 'distance'}",0.9812923861264874,0.0020497657980044913,61
132,euclidean,98,uniform,"{'metric': 'euclidean', 'n_neighbors': 98, 'weights': 'uniform'}",0.9754963015070899,0.001733115709996985,167
133,euclidean,98,distance,"{'metric': 'euclidean', 'n_neighbors': 98, 'weights': 'distance'}",0.9808539366418827,0.0020558298198695836,67
134,euclidean,104,uniform,"{'metric': 'euclidean', 'n_neighbors': 104, 'weights': 'uniform'}",0.9750635089322481,0.0013214167016768748,176
135,euclidean,104,distance,"{'metric': 'euclidean', 'n_neighbors': 104, 'weights': 'distance'}",0.9805517183099031,0.0020264890889174314,70
136,euclidean,110,uniform,"{'metric': 'euclidean', 'n_neighbors': 110, 'weights': 'uniform'}",0.9747613212785844,0.0013639498926003328,185
137,euclidean,110,distance,"{'metric': 'euclidean', 'n_neighbors': 110, 'weights': 'distance'}",0.9801130771987017,0.0017832053428782262,78
138,euclidean,116,uniform,"{'metric': 'euclidean', 'n_neighbors': 116, 'weights': 'uniform'}",0.9744593565336617,0.001398866634218849,191
139,euclidean,116,distance,"{'metric': 'euclidean', 'n_neighbors': 116, 'weights': 'distance'}",0.9798450548146663,0.0017471652821801568,83
140,euclidean,123,uniform,"{'metric': 'euclidean', 'n_neighbors': 123, 'weights': 'uniform'}",0.974093832749036,0.001253241737256448,204
141,euclidean,123,distance,"{'metric': 'euclidean', 'n_neighbors': 123, 'weights': 'distance'}",0.9796118419488336,0.0016004996934675438,86
142,euclidean,129,uniform,"{'metric': 'euclidean', 'n_neighbors': 129, 'weights': 'uniform'}",0.9736239727901943,0.001042896782480047,213
143,euclidean,129,distance,"{'metric': 'euclidean', 'n_neighbors': 129, 'weights': 'distance'}",0.9794785548054937,0.0015737190147657757,89
144,euclidean,135,uniform,"{'metric': 'euclidean', 'n_neighbors': 135, 'weights': 'uniform'}",0.9734315373334983,0.001035229043764655,216
145,euclidean,135,distance,"{'metric': 'euclidean', 'n_neighbors': 135, 'weights': 'distance'}",0.9792091160167221,0.001385432449166665,94
146,euclidean,141,uniform,"{'metric': 'euclidean', 'n_neighbors': 141, 'weights': 'uniform'}",0.972797853980973,0.0009995435298241465,220
147,euclidean,141,distance,"{'metric': 'euclidean', 'n_neighbors': 141, 'weights': 'distance'}",0.9791446888322065,0.0012724184029857051,96
148,euclidean,147,uniform,"{'metric': 'euclidean', 'n_neighbors': 147, 'weights': 'uniform'}",0.9725690551740234,0.0009792489549022957,223
149,euclidean,147,distance,"{'metric': 'euclidean', 'n_neighbors': 147, 'weights': 'distance'}",0.9788745077963117,0.0011200275261861374,102
150,euclidean,153,uniform,"{'metric': 'euclidean', 'n_neighbors': 153, 'weights': 'uniform'}",0.9722686016966907,0.0012146664218392609,226
151,euclidean,153,distance,"{'metric': 'euclidean', 'n_neighbors': 153, 'weights': 'distance'}",0.9786041997776899,0.001072185275990503,105
152,euclidean,159,uniform,"{'metric': 'euclidean', 'n_neighbors': 159, 'weights': 'uniform'}",0.9721021775163058,0.001165240591896271,228
153,euclidean,159,distance,"{'metric': 'euclidean', 'n_neighbors': 159, 'weights': 'distance'}",0.9783038447940857,0.0010437016260552482,111
154,euclidean,165,uniform,"{'metric': 'euclidean', 'n_neighbors': 165, 'weights': 'uniform'}",0.9718679620713553,0.0012459239406155374,232
